x, y, z
1335021.04, 5018673.12, 756.96
1335020.9000000001, 5018672.0, 756.8000000000001
1335020.54, 5018672.44, 756.79
1335020.03, 5018671.95, 756.63
1335020.4000000001, 5018671.5, 756.65
1335020.76, 5018671.05, 756.64
1335021.07, 5018669.41, 756.49
1335020.71, 5018669.86, 756.48
1335020.34, 5018670.3100000005, 756.48
1335019.98, 5018670.75, 756.47
1335019.62, 5018671.19, 756.41
1335019.07, 5018670.9, 756.22
1335019.81, 5018669.99, 756.28
1335020.18, 5018669.54, 756.35
1335020.54, 5018669.09, 756.39
1335020.91, 5018668.64, 756.34
1335020.91, 5018667.38, 756.2
1335020.55, 5018667.83, 756.19
1335020.18, 5018668.28, 756.12
1335019.81, 5018668.73, 756.07
1335019.45, 5018669.17, 756.04
1335019.09, 5018669.62, 756.0
1335018.71, 5018670.08, 755.96
1335018.1400000001, 5018669.8100000005, 755.76
1335018.5, 5018669.37, 755.8000000000001
1335018.86, 5018668.92, 755.82
1335019.23, 5018668.47, 755.86
1335019.6, 5018668.0200000005, 755.94
1335019.96, 5018667.57, 755.97
1335020.33, 5018667.11, 756.03
1335020.71, 5018666.65, 756.04
1335021.08, 5018666.2, 756.0600000000001
1335020.72, 5018665.25, 755.9
1335020.35, 5018665.7, 755.85
1335019.98, 5018666.16, 755.82
1335018.8900000001, 5018667.5, 755.64
1335018.52, 5018667.95, 755.58
1335018.1500000001, 5018668.4, 755.48
1335017.78, 5018668.86, 755.4300000000001
1335017.41, 5018669.32, 755.4
1335017.1300000001, 5018668.73, 755.15
1335017.5, 5018668.26, 755.21
1335017.87, 5018667.8100000005, 755.27
1335018.24, 5018667.36, 755.34
1335018.6, 5018666.9, 755.45
1335018.97, 5018666.46, 755.57
1335019.7, 5018665.55, 755.63
1335020.07, 5018665.100000001, 755.67
1335020.56, 5018663.25, 755.48
1335019.47, 5018664.600000001, 755.4300000000001
1335018.72, 5018665.51, 755.3000000000001
1335017.99, 5018666.42, 755.16
1335017.62, 5018666.87, 755.0600000000001
1335017.25, 5018667.32, 754.99
1335016.8900000001, 5018667.76, 754.94
1335016.53, 5018668.2, 754.91
1335016.12, 5018667.75, 754.72
1335016.48, 5018667.3100000005, 754.74
1335016.84, 5018666.86, 754.8100000000001
1335017.21, 5018666.4, 754.87
1335017.58, 5018665.95, 755.01
1335017.95, 5018665.49, 755.07
1335018.31, 5018665.04, 755.1800000000001
1335018.69, 5018664.58, 755.23
1335019.05, 5018664.13, 755.3000000000001
1335019.42, 5018663.68, 755.32
1335019.78, 5018663.23, 755.35
1335020.1500000001, 5018662.78, 755.35
1335020.52, 5018662.33, 755.36
1335020.8800000001, 5018661.88, 755.36
1335021.05, 5018660.36, 755.39
1335020.68, 5018660.8100000005, 755.33
1335020.31, 5018661.2700000005, 755.25
1335019.95, 5018661.72, 755.15
1335019.58, 5018662.17, 755.13
